Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 99.65    296.75   296.75        1   296.75   296.75  ConsoleLoop
  0.34    297.75     1.00        1     1.00     1.00  stopKadEngine
  0.01    297.77     0.02    35192     0.00     0.00  KadC_flog
  0.00    297.78     0.01                             vfprintf
  0.00    297.78     0.00   110743     0.00     0.00  Debug_pthread_mutex_lock
  0.00    297.78     0.00   110743     0.00     0.00  Debug_pthread_mutex_unlock
  0.00    297.78     0.00   104545     0.00     0.00  int128eq
  0.00    297.78     0.00   103712     0.00     0.00  int128lt
  0.00    297.78     0.00    44125     0.00     0.00  find
  0.00    297.78     0.00    44017     0.00     0.00  KadC_realloc
  0.00    297.78     0.00    22063     0.00     0.00  p_insert
  0.00    297.78     0.00    22063     0.00     0.00  p_remove
  0.00    297.78     0.00    21954     0.00     0.00  KadC_free
  0.00    297.78     0.00    21463     0.00     0.00  KadC_malloc
  0.00    297.78     0.00    15172     0.00     0.00  sid_compEQ
  0.00    297.78     0.00    14533     0.00     0.00  sid_compLT
  0.00    297.78     0.00     9654     0.00     0.00  rbt_insert
  0.00    297.78     0.00     8615     0.00     0.00  rbt_value
  0.00    297.78     0.00     7841     0.00     0.00  insertFixup
  0.00    297.78     0.00     7841     0.00     0.00  rbt_erase
  0.00    297.78     0.00     7216     0.00     0.00  rbt_begin
  0.00    297.78     0.00     7036     0.00     0.00  int128xor
  0.00    297.78     0.00     6803     0.00     0.00  deleteFixup
  0.00    297.78     0.00     6787     0.00     0.00  rotateLeft
  0.00    297.78     0.00     5392     0.00     0.00  rbt_find
  0.00    297.78     0.00     4623     0.00     0.00  isnonroutable
  0.00    297.78     0.00     4501     0.00     0.00  getushortle
  0.00    297.78     0.00     4281     0.00     0.00  getipn
  0.00    297.78     0.00     4280     0.00     0.00  getint128n
  0.00    297.78     0.00     4280     0.00     0.00  getpeernode
  0.00    297.78     0.00     4123     0.00     0.00  trimfgets
  0.00    297.78     0.00     4115     0.00     0.00  rbt_next
  0.00    297.78     0.00     3041     0.00     0.00  deqtw
  0.00    297.78     0.00     2802     0.00     0.00  millisadd
  0.00    297.78     0.00     2802     0.00     0.00  pthread_cond_incrtimedwait
  0.00    297.78     0.00     2802     0.00     0.00  ts_set
  0.00    297.78     0.00     2386     0.00     0.00  rotateRight
  0.00    297.78     0.00     2346     0.00     0.00  enq
  0.00    297.78     0.00     2212     0.00     0.00  knode_compEQ
  0.00    297.78     0.00     2100     0.00     0.00  htoa
  0.00    297.78     0.00     2100     0.00     0.00  inet_ntoa_r
  0.00    297.78     0.00     2072     0.00     0.00  KadC_int128flog
  0.00    297.78     0.00     2052     0.00     0.00  parseline
  0.00    297.78     0.00     2050     0.00     0.00  string2int128
  0.00    297.78     0.00     2049     0.00     0.00  domain2hip
  0.00    297.78     0.00     2014     0.00     0.00  rbt_eraseKey
  0.00    297.78     0.00     1792     0.00     0.00  knode_compLT
  0.00    297.78     0.00     1510     0.00     0.00  Debug_pthread_mutex_init
  0.00    297.78     0.00     1510     0.00     0.00  pthreadutils_mutex_init_recursive
  0.00    297.78     0.00     1398     0.00     0.00  int128log
  0.00    297.78     0.00     1396     0.00     0.00  getpktt
  0.00    297.78     0.00     1384     0.00     0.00  destroyq
  0.00    297.78     0.00     1384     0.00     0.00  new_queue
  0.00    297.78     0.00     1384     0.00     0.00  resetq
  0.00    297.78     0.00     1381     0.00     0.00  P2PnewSessionsend
  0.00    297.78     0.00     1381     0.00     0.00  UDPsend
  0.00    297.78     0.00     1381     0.00     0.00  deallocSessionObject
  0.00    297.78     0.00     1381     0.00     0.00  destroySessionObject
  0.00    297.78     0.00     1381     0.00     0.00  newSessionObject
  0.00    297.78     0.00     1355     0.00     0.00  putint128n
  0.00    297.78     0.00     1032     0.00     0.00  reapDeadServerThreads
  0.00    297.78     0.00     1031     0.00     0.00  KAD_UDPlistener
  0.00    297.78     0.00     1031     0.00     0.00  isOvernetREQ
  0.00    297.78     0.00     1031     0.00     0.00  retrieveSessionObject
